feature,importance
buildingyear,11955
district_uid,11330
area,10675
districtname,9848
frontage,8266
breadth,6684
year,6044
totalfloorarea,5258
mintimetoneareststation,4825
direction,4183
municipality,4076
landshape,2456
cityplanning,2431
quarter,2199
use,2101
floorarearatio,2004
floorplan,1380
municipalitycode,1145
classification,880
type,762
structure,760
coverageratio,686
purpose,575
maxtimetoneareststation,506
renovation,499
region,329
log_breadth,2
log_frontage,1
time_to_station_mean,0
log_totalfloorarea,0
log_area,0
